Player_Name,DOB,Batting_Hand,Country,ARM,STYLE
AC Blizzard,1984-06-27,Left_Hand,Australia,Left,Medium
AC Gilchrist,1971-11-14,Left_Hand,Australia,Right,Offbreak
AC Thomas,1977-02-09,Right_Hand,England,Right,Medium-Fast
AC Voges,1979-10-04,Right_Hand,Australia,Left,Orthodox
AD Mascarenhas,1977-10-30,Right_Hand,England,Right,Medium-Fast
AD Mathews,1987-06-02,Right_Hand,Sri Lanka,Right,Medium-Fast
AD Nath,1993-05-10,Right_Hand,India,Right,Medium-Fast
AD Russell,1988-04-29,Right_Hand,West Indies,Right,Fast
AF Milne,1992-04-13,Right_Hand,New Zealand,Right,Fast
AG Murtaza,1990-01-01,Left_Hand,India,Left,Orthodox
AG Paunikar,1988-04-18,Right_Hand,India,Wicket_Keeper,
AJ Finch,1986-11-17,Right_Hand,Australia,Left,Orthodox
AJ Tye,1986-12-12,Right_hand,Australia,Right,Medium-Fast
AL Menaria,1990-10-29,Left_Hand,India,Left,Orthodox
AM Nayar,1983-10-08,Left_Hand,India,Right,Medium
AM Rahane,1988-06-06,Right_Hand,India,Right,Medium
AM Salvi,6/6/1988,Right_Hand,India,Right,Medium
AN Ahmed,1988-11-05,Right_Hand,India,Right,Medium-Fast
AN Ghosh,1986-10-19,Right_Hand,India,Right,Medium
Anand Rajan,1987-04-17,Right_Hand,India,Right,Medium
Anirudh Singh,1980-08-02,Left_Hand,India,Right,Medium
Ankit Sharma,1991-04-20,Left_Hand,India,Left,Orthodox
Ankit Soni,1993-08-02,Right_hand,India,Right,Legbreak
Anureet Singh,1988-03-02,Right_Hand,India,Right,Medium
AP Dole,1987-10-09,Right_Hand,India,Right,Medium-Fast
AP Majumdar,1984-04-30,Right_Hand,India,Right,Legbreak
AP Tare,1987-11-07,Right_Hand,India,Wicket_Keeper,
AR Bawne,1992-10-17,Right_Hand,India,Right,Offbreak
AR Patel,1994-01-20,Left_Hand,India,Left,Orthodox
AS Rajpoot,1993-12-04,Right_Hand,India,Right,Medium
AS Raut,1987-03-03,Right_Hand,India,Right,Legbreak
AS Yadav,1985-09-01,Right_hand,India,Left,Orthodox
AT Rayudu,1985-09-23,Right_Hand,India,Right,Offbreak
AUK Pathan,1984-06-17,Right_Hand,India,Right,Medium
AV Wankhade,1992-03-14,Right_Hand,India,Right,Medium
Avesh Khan,1996-12-13,Right_Hand,India,Right,Medium-Fast
Azhar Mahmood,1975-02-28,Right_Hand,Pakistan,Right,Medium-Fast
B Akhil,1977-10-07,Right_Hand,India,Right,Medium-Fast
B Aparajith,1994-07-08,Right_Hand,India,Right,Offbreak
B Chipli,1983-01-27,Right_Hand,India,Right,Medium
B Geeves,1982-06-13,Right_Hand,Australia,Right,Medium-Fast
B Kumar,1990-02-05,Right_Hand,India,Right,Medium
B Laughlin,1982-10-03,Right_Hand,Australia,Right,Medium-Fast
B Lee,1976-11-08,Right_Hand,Australia,Right,Fast
B Stanlake,1994-11-04,Right_Hand,Australia,Right,Fast
B Sumanth,1988-05-10,Right_Hand,India,Right,Medium-Fast
BA Bhatt,1990-05-13,Left_Hand,India,Left,Orthodox
BA Stokes,1991-06-04,Left_Hand,England,Right,Medium-Fast
Basil Thampi,1993-09-11,Right_hand,India,Right,Fast
BAW Mendis,1985-03-11,Right_Hand,Sri Lanka,Right,Offbreak
BB McCullum,1981-09-27,Right_Hand,New Zealand,Right,Medium
BB Samantray,1988-12-14,Right_Hand,India,Right,Medium
BB Sran,1992-12-10,Left_Hand,India,Left,Medium
BCJ Cutting,1987-01-30,Right_Hand,Australia,Right,Medium-Fast
BE Hendricks,1990-06-08,Left_Hand,South Africa,Left,Medium-Fast
Bipul Sharma,1983-09-28,Left_Hand,India,Left,Orthodox
BJ Haddin,1977-10-23,Right_Hand,Australia,Wicket_Keeper,
BJ Hodge,1974-12-29,Right_Hand,Australia,Right,Offbreak
BJ Rohrer,1981-03-26,Left_Hand,Australia,Right,Offbreak
BMAJ Mendis,1983-01-15,Left_Hand,Sri Lanka,Right,Offbreak
BR Dunk,1987-03-11,Left_Hand,Australia,Right,Fast
BW Hilfenhaus,1983-03-15,Right_Hand,Australia,Right,Fast
C de Grandhomme,1986-07-22,Right_hand,New Zealand,,
C Ganapathy,1981-06-10,Right_Hand,India,Right,Medium
C Ingram,1985-07-03,Left_Hand,South Africa,Right,Medium-Fast
C Madan,1982-10-15,Right_Hand,India,Wicket_Keeper,
C Munro,1987-03-11,Left_Hand,New Zealand,Right,Medium-Fast
C Nanda,1979-03-29,Right_Hand,India,Right,Legbreak
CA Ingram,1985-07-03,Left_Hand,South Africa,Right,Legbreak
CA Lynn,1990-04-10,Right_Hand,Australia,Left,Orthodox
CA Pujara,1988-01-25,Right_Hand,India,Right,Legbreak
CH Gayle,1979-09-21,Left_Hand,West Indies,Right,Offbreak
CH Morris,1987-04-30,Right_Hand,South Africa,Right,Medium-Fast
CJ Anderson,1990-12-13,Left_Hand,New Zealand,Left,Medium-Fast
CJ Ferguson,1984-11-21,Right_Hand,Australia,Right,Medium
CJ Jordan,1988-10-04,Right_Hand,England,Right,Medium-Fast
CJ McKay,1983-02-20,Right_Hand,Australia,Right,Medium-Fast
CK Kapugedera,1987-02-24,Right_Hand,Sri Lanka,Right,Medium
CK Langeveldt,1974-12-17,Right_Hand,England,Right,Medium-Fast
CL White,1983-08-18,Right_Hand,Australia,Right,Legbreak
CM Gautam,1986-03-08,Right_Hand,India,Wicket_Keeper,
CR Brathwaite,1988-07-18,Right_Hand,West Indies,Right,Medium-Fast
CR Woakes,1989-03-02,Right_hand,England,Right,Medium-Fast
CRD Fernando,1979-07-19,Right_Hand,Sri Lanka,Right,Medium-Fast
D du Preez,1981-11-08,Right_Hand,South Africa,Right,Medium-Fast
D Kalyankrishna,1983-12-16,Right_Hand,India,Right,Medium-Fast
D Salunkhe,1982-11-12,Right_Hand,India,Right,Legbreak
D Shorey,1992-06-05,Right_hand,India,Right,Offbreak
D Short,1990-08-09,Left_Hand,Australia,Left,Orthodox
D Wiese,1985-05-18,Right_Hand,South Africa,Right,Medium-Fast
D Willey,1990-02-28,Right_Hand,England,Left,Medium-Fast
DA Miller,1989-06-10,Left_Hand,South Africa,Right,Offbreak
DA Warner,1986-10-27,Left_Hand,Australia,Right,Legbreak
DAJ Bracewell,1990-09-28,Right_Hand,New Zealand,Right,Medium-Fast
DB Das,1986-09-22,Right_Hand,India,Right,Legbreak
DB Ravi akeja,1987-09-05,Right_Hand,India,Right,Legbreak
DE Bollinger,1981-07-24,Left_Hand,Australia,Left,Medium-Fast
DH Yagnik,1983-06-22,Left_Hand,India,Wicket_Keeper,
DJ Bravo,1983-10-07,Right_Hand,West Indies,Right,Medium-Fast
DJ Harris,1979-12-31,Right_Hand,Australia,Right,Medium
DJ Hooda,1995-04-19,Right_Hand,India,Right,Offbreak
DJ Hussey,1977-07-15,Right_Hand,Australia,Right,Offbreak
DJ Jacobs,1982-11-04,Right_Hand,South Africa,Right,Medium
DJ Muthuswami,1981-03-09,Right_Hand,India,Right,Medium
DJ Thornely,1978-10-01,Right_Hand,Australia,Right,Medium
DJG Sammy,1983-12-20,Right_Hand,West Indies,Right,Medium-Fast
DL Chahar,1992-08-07,Right_Hand,India,Right,Medium
DL Vettori,1979-01-27,Left_Hand,New Zealand,Left,Orthodox
DM Bravo,1989-02-06,Left_Hand,West Indies,Right,Medium-Fast
DNT Zoysa,1978-05-13,Left_Hand,Sri Lanka,Left,Medium-Fast
DP Nannes,1976-05-16,Right_Hand,Australia,Left,Fast
DP Vijaykumar,1986-10-20,Right_Hand,India,Right,Medium
DPMD Jayawardene,1977-05-27,Right_Hand,Sri Lanka,Right,Medium
DR Martyn,1971-10-21,Right_Hand,Australia,Right,Medium
DR Smith,1983-04-12,Right_Hand,West Indies,Right,Medium
DS Kulkarni,1988-12-10,Right_Hand,India,Right,Medium
DS Lehmann,1970-02-05,Left_Hand,Australia,Left,Orthodox
DT Christian,1983-05-04,Right_Hand,Australia,Right,Medium-Fast
DT Patil,1984-12-06,Right_Hand,India,,
DW Steyn,1983-06-27,Right_Hand,South Africa,Right,Fast
E Lewis,1991-12-27,Left_Hand,West Indies,Right,Medium
EJG Morgan,1986-09-10,Left_Hand,England,Right,Medium
ER Dwivedi,1988-07-22,Right_Hand,India,Wicket_Keeper,
F Behardien,1983-10-09,Right_Hand,South Africa,Right,Medium-Fast
F du Plessis,1984-07-13,Right_Hand,South Africa,Right,Legbreak
FH Edwards,1982-02-06,Right_Hand,West Indies,Right,Fast
FY Fazal,1985-09-07,Left_Hand,India,Right,Medium
G Gambhir,1981-10-14,Left_Hand,India,Right,Legbreak
Gagandeep Singh,1981-10-03,Right_Hand,India,Right,Medium-Fast
GB Hogg,1971-02-06,Left_Hand,Australia,Left,Chinaman
GC Smith,1981-02-01,Left_Hand,South Africa,Right,Offbreak
GD McGrath,1970-02-09,Right_Hand,Australia,Right,Medium-Fast
GH Vihari,1993-10-13,Right_Hand,India,Right,Offbreak
GJ Bailey,1982-09-07,Right_Hand,Australia,Right,Medium
GJ Maxwell,1988-10-14,Right_Hand,Australia,Right,Offbreak
GR Napier,1980-01-06,Right_Hand,England,Right,Medium
GS Sandhu,1993-06-14,Left_Hand,Australia,Right,Medium-Fast
Gurkeerat Singh,1990-06-29,Right_Hand,India,Right,Offbreak
H Brar,1995-09-16,Left_Hand,India,Left,Orthodox
H Das,1986-12-10,Right_Hand,India,Wicket_Keeper,
H Gurney,1986-10-25,Right_Hand,England,Right,Medium-Fast
H Klaasen,1991-07-30,Right_hand,South Africa,Wicket_Keeper,
H Vihari,1993-10-13,Right_hand,India,Right,Offbreak
H Viljoen,1989-03-06,Right_hand,South African,Right,Fast
Harbhajan Singh,1980-07-03,Right_Hand,India,Right,Offbreak
Harmeet Singh,1992-09-07,Left_Hand,India,Left,Orthodox
Harmeet Singh (2),1992-09-07,Right_Hand,India,Right,Medium-Fast
Harpreet Singh,1991-08-11,Left_Hand,India,Right,Medium
HH Gibbs,1974-02-23,Right_Hand,South Africa,,
HH Pandya,1993-10-11,Right_Hand,India,Right,Medium-Fast
HM Amla,1983-03-31,Right_Hand,South Africa,Right,Offbreak
HV Patel,1990-11-23,Right_Hand,India,Right,Medium
I Malhotra,1984-05-23,Right_Hand,India,Right,Medium-Fast
I Sharma,1988-09-02,Right_Hand,India,Right,Medium-Fast
I Sodhi,1992-10-31,Right_hand,New Zealand,Right,Legbreak
IC Pandey,1989-08-15,Right_Hand,India,Right,Medium
IK Pathan,1984-10-27,Left_Hand,India,Left,Medium-Fast
Imran Tahir,1979-03-27,Right_Hand,India,Right,Legbreak
Iqbal Abdulla,1989-12-02,Left_Hand,India,Left,Orthodox
IR Jaggi,1989-01-27,Right_Hand,India,Right,Legbreak
Ishan Kishan,1998-07-18,Left_Hand,India,Wicket_Keeper,
J Archer,1995-04-01,Right_hand,England,Right,Fast
J Arunkumar,1975-01-18,Right_Hand,India,Right,Offbreak
J Bairstow,1989-09-26,Right_hand,England,Wicket_Keeper,
J Behrendorff,1990-04-20,Right_Hand,Australian,Left,Medium-Fast
J Botha,1982-05-02,Right_Hand,South Africa,Right,Offbreak
J Dala,1989-12-29,Right_Hand,South African,Right,Medium
J Denly,1986-03-16,Right_hand,England,Right,Legspin
J Searles,1986-12-21,Right_hand,West Indies,Right,Medium-Fast
J Suchith,1994-01-16,Left_Hand,India,Left,Orthodox
J Syed Mohammad,1983-06-03,Left_Hand,India,Left,Orthodox
J Theron,1985-07-24,Right_Hand,South Africa,Right,Medium-Fast
J Yadav,1990-01-22,Right_Hand,India,Right,Offbreak
JA Morkel,1981-06-10,Left_Hand,South Africa,Right,Medium-Fast
Jaskaran Singh,1989-09-04,Right_Hand,India,Right,Medium
JC Buttler,1990-09-08,Right_Hand,England,Wicket_Keeper,
JD Ryder,1984-08-06,Left_Hand,New Zealand,Right,Medium
JD Unadkat,1991-10-18,Right_Hand,India,Left,Medium
JDP Oram,1978-07-28,Left_Hand,New Zealand,Right,Medium-Fast
JDS Neesham,1990-09-17,Left_Hand,New Zealand,Right,Medium
JE Taylor,1984-06-22,Right_Hand,New Zealand,Right,Fast
JEC Franklin,1980-11-07,Left_Hand,New Zealand,Left,Medium
JH Kallis,1975-10-16,Right_Hand,South Africa,Right,Medium-Fast
JJ Bumrah,1993-12-06,Right_Hand,India,Right,Medium
JJ Roy,1990-07-21,Right_hand,South Africa,,
JJ van der Wath,1978-01-10,Right_Hand,South Africa,Right,Medium-Fast
JM Kemp,1977-10-02,Right_Hand,South Africa,Right,Medium-Fast
JO Holder,1991-11-05,Right_Hand,West Indies,Right,Medium-Fast
Joginder Sharma,1983-10-23,Right_Hand,India,Right,Medium-Fast
JP Duminy,1984-04-14,Left_Hand,South Africa,Right,Offbreak
JP Faulkner,1990-04-29,Right_Hand,Australia,Left,Medium-Fast
JR Hopes,1978-10-24,Right_Hand,Australia,Right,Medium
JW Hastings,1985-11-04,Right_Hand,Australia,Right,Medium-Fast
K Ahmed,1997-12-05,Right_hand,India,Left,Medium-Fast
K Goel,1986-12-24,Left_Hand,India,Right,Offbreak
K Gowtham,1988-10-20,Right_hand,India,Right,Offbreak
K Khejroliya,1992-03-13,Right_Hand,India,Left,Medium-Fast
K Paul,1998-02-21,Right_hand,West Indies,Right,Medium-Fast
K Rabada,1995-05-25,Left_Hand,South African,Right,Fast
K Santokie,1984-12-20,Left_Hand,West Indies,Left,Medium
K Upadhyay,1986-06-18,Right_Hand,India,Right,Medium
KA Pollard,1987-05-12,Right_Hand,West Indies,Right,Medium-Fast
KAJ Roach,1988-06-30,Right_Hand,West Indies,Right,Fast
Kamran Akmal,1982-01-13,Right_Hand,Pakistan,Wicket_Keeper,
Kamran Khan,1991-03-10,Left_Hand,India,Left,Medium-Fast
Karanveer Singh,1987-11-08,Right_Hand,India,Right,Legbreak
KB Arun Karthik,1986-02-15,Right_Hand,India,Right,Legbreak
KC Cariappa,1994-04-13,Right_Hand,India,Right,Legbreak
KC Sangakkara,1977-10-27,Left_Hand,Sri Lanka,Right,Offbreak
KD Karthik,1985-06-01,Right_Hand,India,Wicket_Keeper,
KH Devdhar,1989-12-14,Right_Hand,India,Wicket_Keeper,
KH Pandya,1991-03-24,Left_Hand,India,Left,Orthodox
KJ Abbott,1987-06-18,Right_Hand,South Africa,Right,Medium-Fast
KK Cooper,1989-02-16,Right_Hand,West Indies,Right,Medium
KK Nair,1991-12-06,Right_Hand,India,Right,Offbreak
KL Rahul,1992-04-18,Right_Hand,India,Wicket_Keeper,
KM Asif,1993-07-24,Right_Hand,India,Right,Medium
KM Jadhav,1985-03-26,Right_Hand,India,Right,Offbreak
KMDN Kulasekara,1982-07-22,Right_Hand,Sri Lanka,Right,Medium-Fast
KP Appanna,1988-12-20,Right_Hand,India,Left,Orthodox
KP Pietersen,1980-06-27,Right_Hand,South Africa,Right,Offbreak
KS Williamson,1990-08-08,Right_Hand,New Zealand,Right,Offbreak
Kuldeep Yadav,1994-12-14,Left_Hand,India,Left,Chinaman
KV Sharma,1987-10-23,Left_Hand,India,Right,Legbreak
KW Richardson,1991-02-12,Right_Hand,Australia,Right,Medium-Fast
L Ablish,1982-12-03,Right_Hand,India,Right,Medium-Fast
L Balaji,1981-09-27,Right_Hand,India,Right,Medium-Fast
L Ferguson,1991-06-13,Right_Hand,New Zealand,Right,Fast
L Livingstone,1993-08-04,Right_hand,England,Right,Offbreak
L Ngidi,1996-03-29,Right_Hand,South African,Left,Orthodox
L Plunkett,1985-04-06,Right_hand,England,Right,Fast
L Ronchi,1981-04-23,Right_Hand,Australia,Right,Fast
LA Carseldine,1975-11-17,Left_Hand,Australia,Left,Legbreak
LA Pomersbach,1984-09-28,Left_Hand,Australia,Right,Medium
LH Ferguson,1991-06-13,Right_Hand,New Zealand,Right,Medium-Fast
LJ Wright,1985-03-07,Right_Hand,England,Right,Medium-Fast
LMP Simmons,1985-01-25,Right_Hand,West Indies,Right,Medium-Fast
LPC Silva,1979-12-14,Right_Hand,Sri Lanka,Right,Legbreak
LR Shukla,1981-05-06,Right_Hand,India,Right,Medium
LRPL Taylor,1984-03-08,Right_Hand,New Zealand,Right,Offbreak
M Ali,1987-06-18,Left_Hand,England,Right,Offbreak
M Ashwin,1990-09-08,Right_Hand,India,Right,Legbreak
M de Lange,1990-10-13,Right_Hand,South Africa,Right,Fast
M Kaif,1980-12-01,Right_Hand,India,Right,Offbreak
M Kartik,1976-09-11,Left_Hand,India,Left,Orthodox
M Klinger,1980-07-04,Right_Hand,Australia,,
M Lomror,1999-11-16,Left_Hand,India,Left,Orthodox
M Manhas,1979-10-12,Right_Hand,India,Right,Offbreak
M Markande,1997-11-11,Right_hand,India,Right,Legbreak
M Morkel,1984-10-06,Left_Hand,South Africa,Right,Fast
M Muralitharan,1972-04-17,Right_Hand,Sri Lanka,Right,Offbreak
M Ntini,1977-07-06,Right_Hand,South Africa,Right,Fast
M Rawat,1985-10-25,Right_Hand,India,Wicket_Keeper,
M Santner,1992-02-05,Left_Hand,New Zealand,Left,Orthodox
M Ur Rahman,2001-03-28,Right_hand,Afghan,Right,Offbreak
M Vijay,1984-04-01,Right_Hand,India,Right,Offbreak
M Vohra,1993-07-18,Right_Hand,India,Right,Medium
M Wood,1990-01-11,Right_hand,England,Right,Fast
MA Agarwal,1991-02-16,Right_Hand,India,Right,Offbreak
MA Khote,1980-04-22,Right_Hand,India,Right,Medium
MA Starc,1990-01-30,Left_Hand,Australia,Left,Fast
Mandeep Singh,1991-12-18,Right_Hand,India,Right,Medium
Mashrafe Mortaza,1983-10-05,Right_Hand,Bangladesh,Right,Medium-Fast
MB Parmar,1988-04-12,Right_Hand,India,Right,Offbreak
MC Henriques,1987-02-01,Right_Hand,Australia,Right,Medium-Fast
MC Juneja,1990-09-12,Right_Hand,India,Right,Offbreak
MD Mishra,1984-02-09,Right_Hand,India,Right,Offbreak
MDKJ Perera,1990-08-17,Left_Hand,Sri Lanka,Wicket_Keeper,
MEK Hussey,1975-05-27,Left_Hand,Australia,Right,Medium
MF Maharoof,1984-09-07,Right_Hand,India,Right,Medium-Fast
MG Johnson,1981-11-02,Left_Hand,Australia,Left,Fast
MG Neser,1990-03-29,Right_Hand,Australia,Right,Medium
Misbah-ul-Haq,1974-05-28,Right_Hand,Pakistan,Right,Legbreak
MJ Clarke,1981-04-02,Right_Hand,Australia,Left,Orthodox
MJ Guptill,1986-09-30,Right_Hand,New Zealand,Right,Offbreak
MJ Henry,1991-12-14,Right_Hand,New Zealand,Right,Fast
MJ Lumb,1980-02-12,Left_Hand,England,Right,Medium
MJ McClenaghan,1986-06-11,Left_Hand,New Zealand,Left,Medium-Fast
MK Pandey,1989-09-10,Right_Hand,India,Right,Medium
MK Tiwary,1985-11-14,Right_Hand,India,Right,Legbreak
ML Hayden,1971-10-29,Left_Hand,Australia,Right,Medium
MM Patel,1983-07-12,Right_Hand,India,Right,Medium-Fast
MM Sharma,1988-09-18,Right_Hand,India,Right,Medium
MN Samuels,1981-02-05,Right_Hand,West Indies,Right,Offbreak
MN van Wyk,1979-03-20,Right_Hand,South Africa,Left,Orthodox
Mohammad Ashraful,1984-07-07,Right_Hand,Bangladesh,Right,Offbreak
Mohammad Asif,1982-12-20,Left_Hand,Pakistan,Right,Medium-Fast
Mohammad Hafeez,1980-10-17,Right_Hand,Pakistan,Right,Offbreak
Mohammad Nabi,1985-01-01,Right_hand,Afghan,Right,Offbreak
Mohammed Shami,1990-09-03,Right_Hand,India,Right,Medium-Fast
Mohammed Siraj,1994-03-13,Right_hand,India,Right,Fast
MP Stoinis,1989-08-16,Right_Hand,Australia,Right,Medium
MR Marsh,1991-10-20,Right_Hand,Australia,Right,Medium
MS Bisla,1984-12-27,Right_Hand,India,Wicket_Keeper,
MS Dhoni,1981-07-07,Right_Hand,India,Right,Medium
MS Gony,1984-01-04,Right_Hand,India,Right,Medium
MS Wade,1987-12-26,Left_Hand,Australia,Right,Medium
Mustafizur Rahman,1995-09-06,Left_Hand,Bangladesh,Left,Medium-Fast
MV Boucher,1976-12-03,Right_Hand,South Africa,Right,Medium
N Naik,1994-11-09,Right_hand,India,Wicket_Keeper,
N Pooran,1995-10-02,Left_Hand,West Indies,Wicket_Keeper,
N Rana,1993-12-27,Left_Hand,India,Right,Offbreak
N Saini,1988-10-28,Right_Hand,India,Right,Fast
NB Singh,1995-09-08,Right_Hand,India,Right,Fast
ND Doshi,1978-10-06,Right_Hand,India,Left,Orthodox
Niraj Patel,1981-03-26,Left_Hand,India,Left,Legspin
NJ Maddinson,1991-12-21,Left_Hand,Australia,Left,Orthodox
NJ Rimmington,1982-11-11,Right_Hand,Australia,Right,Medium-Fast
NK Patel,1981-03-26,Left_Hand,India,Right,Legbreak
NL McCullum,1980-09-01,Right_Hand,New Zealand,Right,Offbreak
NLTC Perera,1989-04-03,Left_Hand,Sri Lanka,Right,Medium-Fast
NM Coulter-Nile,1987-10-11,Right_Hand,Australia,Right,Fast
NS Naik,1994-09-11,Right_Hand,India,Wicket_Keeper,
NV Ojha,1983-07-20,Right_Hand,India,Wicket_Keeper,
O Thomas,1997-02-18,Right_Hand,Jaimacan,Right,Fast
OA Shah,1978-10-22,Right_Hand,England,Right,Offbreak
P Amarnath,1982-06-01,Right_Hand,India,Right,Medium
P Awana,1986-07-19,Right_Hand,India,Right,Medium
P Chopra,1992-10-07,Right_hand,India,Wicket_Keeper,
P Dharmani,1974-09-27,Right_Hand,India,Wicket_Keeper,
P Dogra,1984-11-19,Right_Hand,India,Right,Legbreak
P Krishna,1996-02-19,Right_hand,India,Right,Fast
P Kumar,1986-10-02,Right_Hand,India,Right,Medium
P Negi,1993-01-06,Left_Hand,India,Left,Orthodox
P Parameswaran,1985-05-30,Right_Hand,India,Left,Medium
P Prasanth,1985-05-22,Left_Hand,India,Left,Orthodox
P R Barman,2002-10-25,Right_hand,India,Right,Legbreak
P Raj,1998-02-20,Right_Hand,India,Left,Medium
P Sahu,1985-08-21,Right_Hand,India,Right,Legbreak
P Shaw,1999-11-09,Right_hand,India,Right,Offspin
P Suyal,1989-10-15,Right_Hand,India,Left,Medium
PA Patel,1985-09-03,Left_Hand,India,Right,Medium-Fast
PA Reddy,1991-02-11,Right_Hand,India,Right,Legbreak
Pankaj Singh,1985-05-06,Right_Hand,India,Right,Medium-Fast
Parvez Rasool,1989-02-13,Right_Hand,India,Right,Offbreak
PC Valthaty,1983-12-07,Right_Hand,India,Right,Medium
PD Collingwood,1976-05-26,Right_Hand,England,Right,Medium
PJ Cummins,1993-05-08,Right_Hand,Australia,Right,Fast
PJ Sangwan,1990-11-05,Right_Hand,India,Left,Medium
PM Sarvesh Kumar,1989-04-26,Right_Hand,India,Right,Medium
PP Chawla,1988-12-24,Left_Hand,India,Right,Legbreak
PP Ojha,1986-09-05,Left_Hand,India,Left,Orthodox
PR Shah,1987-03-11,Right_Hand,India,,
PSP Handscomb,1991-04-26,Right_Hand,Australia,,
PV Tambe,1971-10-08,Right_Hand,India,Right,Legbreak
Q de Kock,1992-12-17,Left_Hand,South Africa,,
R Ashwin,1986-09-17,Right_Hand,India,Right,Offbreak
R Bhatia,1979-10-22,Right_Hand,India,Right,Medium-Fast
R Bhui,1996-09-14,Right_hand,india,Right,Legbreak
R Bishnoi,1987-10-08,Right_Hand,India,Right,Medium-Fast
R Dhawan,1990-02-19,Right_Hand,India,Right,Medium-Fast
R Dravid,1973-01-11,Right_Hand,India,Right,Offbreak
R McLaren,1983-02-09,Left_Hand,South Africa,Right,Medium-Fast
R Ninan,1985-11-19,Right_Hand,India,Right,Offbreak
R Parag,2001-11-10,Right_hand,India,Right,Legbreak
R Rampaul,1984-10-15,Left_Hand,West Indies,Right,Medium-Fast
R Salam,2001-04-05,Right_Hand,India,Right,Fast
R Sathish,1981-01-14,Right_Hand,India,Right,Medium
R Sharma,1987-04-30,Right_Hand,India,Right,Offbreak
R Shukla,1990-08-28,Right_Hand,India,Right,Medium
R Singh,1963-09-14,Right_hand,India,Right,Offbreak
R Tewatia,1993-05-20,Left_Hand,India,Right,Legbreak
R Vinay Kumar,1984-02-12,Right_Hand,India,Right,Medium
RA Jadeja,1988-12-06,Left_Hand,India,Left,Orthodox
RA Shaikh,1985-06-12,Left_Hand,India,Left,Medium
RA Tripathi,1991-03-02,Right_hand,India,Right,Medium
Rashid Khan,1998-09-20,Right_hand,Afhanistan,Right,Legbreak
RD Chahar,1999-08-04,Right_hand,India,Right,Legbreak
RE Levi,1988-01-14,Right_Hand,South Africa,Right,Medium
RE van der Merwe,1984-12-31,Right_Hand,South Africa,Left,Orthodox
RG More,1992-02-02,Right_Hand,India,Right,Medium
RG Sharma,1987-04-30,Right_Hand,India,Right,Offbreak
RJ Harris,1979-10-11,Right_Hand,Australia,Right,Fast
RJ Peterson,1979-08-04,Left_Hand,South Africa,Left,Orthodox
RJ Quiney,1982-08-20,Left_Hand,Australia,Right,Medium
RN ten Doeschate,1980-06-30,Right_Hand,Netherlands,Right,Medium-Fast
RP Singh,1985-12-06,Right_Hand,India,Left,Medium-Fast
RR Bhatkal,1985-09-01,Right_Hand,India,Right,Medium
RR Bose,1979-02-27,Right_Hand,India,Right,Medium-Fast
RR Pant,1997-04-10,Left_Hand,India,,
RR Powar,1978-05-20,Right_Hand,India,Right,Offbreak
RR Raje,1986-09-03,Right_Hand,India,Right,Medium-Fast
RR Rossouw,1989-10-09,Left_Hand,South Africa,Right,Offbreak
RR Sarwan,1980-06-23,Right_Hand,West Indies,Right,Legbreak
RS Bopara,1985-05-04,Right_Hand,England,Right,Medium
RS Gavaskar,1976-02-20,Left_Hand,India,Left,Orthodox
RS Sodhi,1980-10-18,Right_Hand,India,Right,Medium
